id,x,y,cell_type
2373368,5804.0,910.0,NK
2373369,3383.0,2662.0,NK
2373370,3351.0,5091.0,NK
2373371,4570.0,1647.0,NK
2373372,7842.0,2144.0,NK
2373373,9105.0,998.0,NK
2373374,4692.0,482.0,NK
2373375,4999.0,1273.0,NK
2373399,1245.0,994.0,Enterocyte
2373400,1066.0,1971.0,Enterocyte
2373401,1090.0,1920.0,Enterocyte
2373402,1138.0,1828.0,Enterocyte
2373403,1125.0,1874.0,Enterocyte
2373404,1167.0,1712.0,Enterocyte
2373405,1220.0,1793.0,Enterocyte
2373406,1225.0,1901.0,Enterocyte
2373407,1285.0,1726.0,Enterocyte
2373408,1291.0,2001.0,Enterocyte
2373409,1273.0,1991.0,Enterocyte
2373410,1334.0,1699.0,Enterocyte
2373411,1200.0,2104.0,Enterocyte
2373412,1193.0,2125.0,Enterocyte
2373413,1222.0,2144.0,Enterocyte
2373414,1258.0,2083.0,Enterocyte
2373415,1271.0,2141.0,Enterocyte
2373416,1264.0,2097.0,Enterocyte
2373417,1267.0,2119.0,Enterocyte
2373418,1290.0,2018.0,Enterocyte
2373419,1314.0,2022.0,Enterocyte
2373420,1322.0,2045.0,Enterocyte
2373421,1343.0,1703.0,Enterocyte
2373422,1349.0,1598.0,Enterocyte
2373423,1352.0,1688.0,Enterocyte
2373424,1367.0,1464.0,Enterocyte
2373425,1408.0,1496.0,Enterocyte
2373426,1373.0,1675.0,Enterocyte
2373427,1406.0,1677.0,Enterocyte
2373428,1393.0,1854.0,Enterocyte
2373429,1406.0,1888.0,Enterocyte
2373430,1423.0,1369.0,Enterocyte
2373431,1467.0,1384.0,Enterocyte
2373432,1453.0,1562.0,Enterocyte
2373433,1416.0,1902.0,Enterocyte
2373434,1453.0,1671.0,Enterocyte
2373435,1422.0,1681.0,Enterocyte
2373436,1429.0,1833.0,MUC1+ Enterocyte
2373437,1448.0,1829.0,Enterocyte
2373438,1471.0,1843.0,Enterocyte
2373439,1455.0,1934.0,Enterocyte
2373440,1447.0,1908.0,Enterocyte
2373441,1460.0,1833.0,Enterocyte
2373442,1512.0,1070.0,Enterocyte
2373443,1483.0,1661.0,Enterocyte
2373444,1474.0,1965.0,Enterocyte
2373445,1521.0,1479.0,Enterocyte
2373446,1477.0,1979.0,Enterocyte
2373447,1481.0,2014.0,Enterocyte
2373448,1526.0,1491.0,Enterocyte
2373449,1526.0,1820.0,Enterocyte
2373450,1509.0,1836.0,Enterocyte
2373451,1587.0,1550.0,Enterocyte
2373452,1593.0,1576.0,Enterocyte
2373453,1639.0,1906.0,Enterocyte
