id,x,y,cell_type
2471820,7624.0,7550.0,Cycling TA
2471821,2672.0,8175.0,Cycling TA
2471822,8913.0,7633.0,Cycling TA
2471823,5464.0,7589.0,Cycling TA
2471824,6785.0,6996.0,Cycling TA
2471825,8676.0,7494.0,Cycling TA
2471826,4793.0,1851.0,Cycling TA
2471827,3305.0,8222.0,Cycling TA
2471828,1053.0,7995.0,Cycling TA
2471829,8794.0,7746.0,Cycling TA
2471830,822.0,141.0,Cycling TA
2471831,6820.0,7040.0,Cycling TA
2471832,9.0,7229.0,Cycling TA
2471833,7316.0,3618.0,Cycling TA
2471834,1077.0,1949.0,Cycling TA
2471835,5474.0,7581.0,Cycling TA
2471836,2358.0,8136.0,Cycling TA
2471837,2242.0,7683.0,Cycling TA
2471838,2387.0,8139.0,Cycling TA
2471839,5765.0,2429.0,Cycling TA
2471840,1686.0,3140.0,Cycling TA
2471841,2877.0,2264.0,Cycling TA
2471842,2585.0,3529.0,Cycling TA
2471843,3368.0,8551.0,Cycling TA
2471844,3873.0,8460.0,Cycling TA
2471845,586.0,3162.0,Cycling TA
2471846,8144.0,8247.0,Cycling TA
2471847,1799.0,7987.0,Cycling TA
2471848,3426.0,8539.0,Cycling TA
2471912,8755.0,8217.0,CD66+ Enterocyte
2471913,5246.0,8090.0,CD66+ Enterocyte
2471914,738.0,7502.0,CD66+ Enterocyte
2474269,4169.0,7745.0,Enterocyte
2474270,5579.0,7916.0,Enterocyte
2474271,2009.0,7557.0,Enterocyte
2474272,726.0,8105.0,Enterocyte
2474273,6807.0,7094.0,Enterocyte
2474274,423.0,8169.0,Enterocyte
2474275,6003.0,8261.0,Enterocyte
2474276,152.0,8106.0,Enterocyte
2474277,3400.0,8619.0,Enterocyte
2474278,5504.0,7637.0,Enterocyte
2474279,5884.0,7396.0,Enterocyte
2474280,2510.0,8319.0,Enterocyte
2474281,6137.0,7601.0,Enterocyte
2474282,4004.0,8212.0,Enterocyte
2474283,3364.0,7915.0,Enterocyte
2474284,5578.0,8385.0,Enterocyte
2474285,2534.0,8362.0,Enterocyte
2474286,6800.0,7220.0,Enterocyte
2474287,5236.0,8035.0,Enterocyte
2474288,4808.0,8358.0,Enterocyte
2474289,4285.0,7605.0,Enterocyte
2474290,1430.0,7489.0,Enterocyte
2474291,6188.0,7608.0,Enterocyte
