id,x,y,cell_type
1246316,5285.0,6348.0,M1 Macrophage
1246317,5917.0,4212.0,Stroma
1246318,138.0,5569.0,Stroma
1246319,7924.0,6618.0,Stroma
1246320,6144.0,6447.0,Stroma
1246321,396.0,5270.0,M2 Macrophage
1246322,828.0,6088.0,Stroma
1246323,8425.0,2132.0,Stroma
1246324,7959.0,6661.0,Stroma
1246325,1378.0,6012.0,CD4+ T cell
1246326,1144.0,6313.0,Stroma
1246327,145.0,5580.0,CD4+ T cell
1246328,4804.0,6135.0,DC
1246329,732.0,4029.0,M2 Macrophage
1246330,4595.0,5830.0,M1 Macrophage
1246331,4000.0,6873.0,CD4+ T cell
1246332,5338.0,6359.0,CD4+ T cell
1246333,7571.0,6668.0,M2 Macrophage
1246334,4567.0,7497.0,M1 Macrophage
1246335,1168.0,5998.0,CD4+ T cell
1246336,1016.0,6197.0,Stroma
1246337,3427.0,6754.0,M1 Macrophage
1246338,9244.0,6808.0,M1 Macrophage
1246339,5104.0,4112.0,M2 Macrophage
1246340,4251.0,6656.0,M1 Macrophage
1246341,5174.0,2711.0,Stroma
1246342,2103.0,4637.0,M2 Macrophage
1246343,6884.0,7911.0,M1 Macrophage
1246344,4601.0,6570.0,Stroma
1246345,7268.0,6456.0,Stroma
1246346,3384.0,3659.0,M2 Macrophage
1246347,5366.0,6300.0,Stroma
1246348,2553.0,3863.0,M2 Macrophage
1246349,1021.0,6354.0,CD4+ T cell
1246350,6909.0,6721.0,CD4+ T cell
1246351,3017.0,6497.0,CD4+ T cell
1246352,4668.0,6661.0,Stroma
1246353,8230.0,2597.0,CD4+ T cell
1246354,6020.0,6100.0,M2 Macrophage
1246355,7961.0,6350.0,Stroma
1246356,4175.0,4632.0,M2 Macrophage
1246357,5582.0,6270.0,Stroma
1246358,8205.0,6550.0,Plasma
1246359,7689.0,6993.0,Stroma
1246360,3919.0,6056.0,M1 Macrophage
1246361,8905.0,6971.0,Stroma
1246362,5336.0,6639.0,CD4+ T cell
1246363,4998.0,5441.0,M2 Macrophage
1246364,5794.0,6455.0,M2 Macrophage
1246365,4288.0,6889.0,CD4+ T cell
1246366,3808.0,6841.0,Stroma
1246367,1859.0,2047.0,Stroma
1246368,4667.0,6020.0,M1 Macrophage
1246369,5236.0,5755.0,M2 Macrophage
1246370,5795.0,6603.0,Stroma
1246371,2656.0,1999.0,Stroma
1246372,5234.0,4367.0,M1 Macrophage
1246373,6483.0,6722.0,CD4+ T cell
1246374,6515.0,6634.0,Stroma
1246375,6858.0,6876.0,Stroma
1246376,269.0,3071.0,Stroma
1246377,2092.0,5984.0,CD4+ T cell
1246378,6844.0,6632.0,Stroma
1246379,5525.0,6572.0,CD4+ T cell
1246380,1002.0,6201.0,M1 Macrophage
1246381,6228.0,6200.0,Stroma
1246382,6508.0,8037.0,Stroma
1246383,4637.0,6503.0,CD4+ T cell
1246384,6433.0,6958.0,Stroma
1246385,5059.0,6283.0,CD4+ T cell
1246386,3283.0,794.0,Stroma
1246387,4070.0,6906.0,Stroma
1246388,5328.0,6568.0,Stroma
1246389,5081.0,6075.0,CD4+ T cell
1246390,2952.0,4174.0,Stroma
1246391,7546.0,6519.0,Stroma
1246392,4162.0,3984.0,Stroma
1246393,4306.0,6963.0,Plasma
1246394,7410.0,7730.0,CD4+ T cell
1246395,6452.0,6588.0,Stroma
1246396,4246.0,7073.0,M1 Macrophage
1246397,4933.0,6879.0,CD4+ T cell
1246398,684.0,5964.0,M2 Macrophage
1246399,4742.0,6090.0,Stroma
1246400,632.0,5806.0,Stroma
1246401,6935.0,6706.0,CD4+ T cell
1246402,1472.0,6978.0,M1 Macrophage
1246403,4905.0,6486.0,Stroma
1246404,5266.0,3870.0,M2 Macrophage
1246405,3060.0,6574.0,M1 Macrophage
1246406,7057.0,6368.0,M1 Macrophage
1246407,272.0,5474.0,Stroma
1246408,1233.0,4695.0,M2 Macrophage
1246409,6843.0,5718.0,M2 Macrophage
1246410,5834.0,6688.0,CD4+ T cell
1246411,436.0,5626.0,Plasma
1246412,4147.0,1425.0,Stroma
1246413,9119.0,6673.0,CD4+ T cell
1246414,630.0,5195.0,M1 Macrophage
1246415,4312.0,7057.0,CD4+ T cell
1246416,4498.0,7050.0,CD4+ T cell
1246417,7903.0,6605.0,CD4+ T cell
1246418,1093.0,6608.0,M1 Macrophage
1246419,946.0,6004.0,M1 Macrophage
1246420,5048.0,6374.0,CD4+ T cell
1246421,1218.0,6942.0,Plasma
1246422,5557.0,6511.0,Plasma
1246423,33.0,5246.0,CD4+ T cell
1246424,5244.0,5804.0,M2 Macrophage
1246425,8186.0,6557.0,Stroma
1246426,4905.0,6304.0,Stroma
1246427,3811.0,6823.0,CD4+ T cell
1246428,4711.0,6646.0,Stroma
1246429,5510.0,6566.0,CD4+ T cell
1246430,5594.0,2868.0,M1 Macrophage
1246431,5871.0,6655.0,Stroma
1246432,51.0,5338.0,CD4+ T cell
1246433,4422.0,6129.0,M1 Macrophage
1246434,435.0,5663.0,CD4+ T cell
1246435,5103.0,2391.0,DC
1246436,9203.0,6818.0,Stroma
1246437,714.0,5616.0,CD4+ T cell
1246438,463.0,5611.0,Stroma
1246439,1460.0,3762.0,Stroma
1246440,44.0,1158.0,M2 Macrophage
1246441,4801.0,6819.0,CD4+ T cell
1246442,7888.0,6656.0,Plasma
1246443,6412.0,6967.0,M1 Macrophage
1246444,6974.0,5259.0,CD4+ T cell
1246445,1042.0,6209.0,CD4+ T cell
1246446,361.0,5930.0,M1 Macrophage
1246447,7732.0,7002.0,M1 Macrophage
1246448,4597.0,2375.0,Stroma
1246449,3977.0,2172.0,M1 Macrophage
1246450,2908.0,3538.0,M2 Macrophage
1246451,3555.0,7027.0,Stroma
1246452,4677.0,6465.0,Stroma
1246453,6176.0,4555.0,Stroma
1246454,1690.0,3915.0,M2 Macrophage
1246455,1114.0,6481.0,Plasma
1246456,8648.0,6606.0,CD4+ T cell
1246457,2965.0,4056.0,Stroma
1246458,4467.0,6706.0,Stroma
1246459,3512.0,6685.0,CD4+ T cell
1246460,6231.0,6529.0,Plasma
1246461,6520.0,7002.0,M1 Macrophage
1246462,5895.0,4232.0,Stroma
1246463,4876.0,3130.0,M2 Macrophage
1246464,6557.0,6672.0,M1 Macrophage
1246465,3003.0,6499.0,Stroma
1246466,862.0,5846.0,M1 Macrophage
1246467,8114.0,6306.0,Stroma
1246468,2835.0,6161.0,CD4+ T cell
1246469,6884.0,6916.0,CD4+ T cell
1246470,5949.0,6591.0,M2 Macrophage
1246471,7659.0,7095.0,M1 Macrophage
1246472,5156.0,6553.0,Stroma
1246473,4944.0,3294.0,M1 Macrophage
1246474,5177.0,6561.0,Stroma
1246475,8371.0,6547.0,Stroma
1246476,1094.0,6449.0,Stroma
1246477,4127.0,6721.0,CD4+ T cell
1246478,5275.0,6527.0,Stroma
1246479,3787.0,6432.0,Stroma
1246480,2921.0,3557.0,M2 Macrophage
1246481,4542.0,7157.0,CD4+ T cell
1246482,3449.0,4123.0,M2 Macrophage
1246483,1718.0,6325.0,M1 Macrophage
1246484,1460.0,6970.0,M1 Macrophage
1246485,9.0,5247.0,Stroma
1246486,3525.0,6585.0,M1 Macrophage
1246487,3854.0,6903.0,Stroma
1246488,6822.0,6673.0,Stroma
1246489,4346.0,6680.0,M1 Macrophage
1246490,6360.0,6791.0,Stroma
1246491,1144.0,6321.0,Plasma
1246492,943.0,5979.0,CD4+ T cell
1246493,4936.0,6567.0,Stroma
1246494,4648.0,6546.0,CD4+ T cell
1246495,5577.0,4813.0,M1 Macrophage
1246496,5076.0,6579.0,Stroma
1246497,6868.0,6931.0,Stroma
1246498,6825.0,6625.0,Plasma
1246499,4436.0,6687.0,CD4+ T cell
1246500,7078.0,6389.0,CD4+ T cell
1246501,1118.0,6382.0,M1 Macrophage
1246502,4926.0,4853.0,M2 Macrophage
1246503,3986.0,6905.0,M2 Macrophage
1246504,8223.0,5860.0,M2 Macrophage
1246505,6364.0,6398.0,Stroma
1246506,8283.0,5160.0,Plasma
1246507,137.0,5670.0,M2 Macrophage
1246508,1834.0,6315.0,CD4+ T cell
1246509,3427.0,6669.0,Stroma
1246510,9238.0,6793.0,CD4+ T cell
1246511,5926.0,6412.0,Stroma
1246512,3752.0,6752.0,Stroma
1246513,4779.0,4212.0,M2 Macrophage
1246514,2436.0,188.0,M2 Macrophage
1246515,3461.0,6663.0,CD4+ T cell
1246516,5421.0,6779.0,M1 Macrophage
1246517,4754.0,6354.0,M2 Macrophage
1246518,1425.0,7005.0,Stroma
1246519,5313.0,6377.0,Stroma
1246520,6958.0,7272.0,Stroma
1246521,1106.0,6398.0,M1 Macrophage
1246522,4636.0,6692.0,M2 Macrophage
1246523,7638.0,7003.0,M1 Macrophage
1246524,8405.0,6599.0,CD4+ T cell
1246525,4148.0,6721.0,M1 Macrophage
1246526,5342.0,6180.0,B
1246527,4269.0,6928.0,CD4+ T cell
1246528,378.0,5944.0,M1 Macrophage
1246529,4489.0,6094.0,Stroma
1246530,6960.0,6641.0,Stroma
1246531,6193.0,6572.0,Stroma
1246532,9280.0,6726.0,Stroma
1246533,4835.0,6990.0,Stroma
1246534,3688.0,6935.0,M1 Macrophage
1246535,5297.0,6361.0,M1 Macrophage
1246536,4044.0,1022.0,Stroma
1246537,6469.0,6753.0,CD4+ T cell
1246538,621.0,5155.0,M2 Macrophage
1246539,4588.0,7201.0,CD4+ T cell
1246540,9240.0,6660.0,Plasma
1246541,2130.0,289.0,M2 Macrophage
1246542,9094.0,5126.0,M2 Macrophage
1246543,9225.0,6757.0,Plasma
1246544,3722.0,6916.0,Stroma
1246545,2156.0,5984.0,Stroma
1246546,3568.0,2157.0,Stroma
1246547,9258.0,6544.0,M1 Macrophage
1246548,3448.0,6683.0,CD4+ T cell
1246549,3301.0,853.0,M2 Macrophage
1246550,357.0,5941.0,Plasma
1246551,7269.0,3728.0,M2 Macrophage
1246552,8753.0,6688.0,Plasma
1246553,3768.0,6987.0,M1 Macrophage
1246554,6521.0,4226.0,Stroma
1246555,1770.0,6023.0,CD4+ T cell
1246556,1949.0,6942.0,CD4+ T cell
1246557,6125.0,5050.0,M1 Macrophage
1246558,3310.0,4160.0,M1 Macrophage
1246559,6401.0,6976.0,Stroma
1246560,4234.0,6785.0,Stroma
1246561,5093.0,6418.0,Plasma
1246562,5403.0,6274.0,M1 Macrophage
1246563,5155.0,6113.0,CD4+ T cell
1246564,5827.0,6653.0,CD4+ T cell
1246565,2132.0,6006.0,M1 Macrophage
1246566,4402.0,6959.0,CD4+ T cell
1246567,1404.0,5951.0,CD4+ T cell
1246568,113.0,5649.0,Stroma
1246569,1496.0,7135.0,M1 Macrophage
1246570,9266.0,6767.0,Plasma
1246571,5388.0,6553.0,Stroma
1246572,1023.0,6492.0,M1 Macrophage
1246573,3772.0,6597.0,CD4+ T cell
1246574,9201.0,6782.0,CD4+ T cell
1246575,7162.0,6310.0,M1 Macrophage
1246576,6972.0,6867.0,M1 Macrophage
1246577,3870.0,6891.0,Stroma
1246578,1810.0,6179.0,M1 Macrophage
1246579,4074.0,6240.0,M2 Macrophage
1246580,3567.0,6759.0,Stroma
1246581,3101.0,6797.0,Stroma
1246582,4220.0,7049.0,M1 Macrophage
1246583,1209.0,6443.0,Plasma
1246584,5822.0,6680.0,CD4+ T cell
1246585,1007.0,6043.0,CD4+ T cell
1246586,6439.0,6909.0,Stroma
1246587,3892.0,6548.0,M1 Macrophage
1246588,7022.0,6143.0,CD4+ T cell
1246589,2765.0,6527.0,Stroma
1246590,1997.0,6431.0,Stroma
1246591,6962.0,6631.0,Plasma
1246592,4608.0,6622.0,M1 Macrophage
1246593,1139.0,6334.0,Plasma
1246594,3808.0,6984.0,Plasma
1246595,3521.0,6707.0,Stroma
1246596,2826.0,6475.0,Stroma
1246597,322.0,6009.0,M1 Macrophage
1246598,911.0,4205.0,M2 Macrophage
1246599,101.0,5502.0,Stroma
1246600,1270.0,4563.0,M1 Macrophage
1246601,2876.0,3575.0,M2 Macrophage
1246602,6759.0,6591.0,Stroma
1246603,7754.0,6462.0,M1 Macrophage
1246604,4989.0,6160.0,Stroma
1246605,9201.0,6683.0,M1 Macrophage
1246606,4222.0,6716.0,CD4+ T cell
1246607,3710.0,6873.0,CD4+ T cell
1246608,6465.0,4879.0,M2 Macrophage
1246609,732.0,5896.0,Plasma
1246610,6849.0,6574.0,M1 Macrophage
1246611,4528.0,6300.0,CD4+ T cell
1246612,6532.0,6969.0,CD4+ T cell
1246613,995.0,6014.0,CD4+ T cell
1246614,6162.0,6675.0,Stroma
1246615,1427.0,6151.0,Stroma
1246616,6778.0,6242.0,M1 Macrophage
1246617,9208.0,6767.0,CD4+ T cell
1246618,1647.0,6058.0,Stroma
1246619,575.0,5230.0,M2 Macrophage
1246620,4925.0,6558.0,M1 Macrophage
1246621,5540.0,6734.0,M1 Macrophage
1246622,6816.0,6722.0,Stroma
1246623,6579.0,6555.0,Stroma
1246624,2728.0,6732.0,Stroma
1246625,4354.0,6845.0,Stroma
1246626,3600.0,6957.0,M1 Macrophage
1246627,5406.0,6559.0,Stroma
1246628,3978.0,6736.0,Plasma
1246629,4464.0,6291.0,M2 Macrophage
1246630,6062.0,6323.0,Stroma
1246631,8701.0,6694.0,Plasma
1246632,3425.0,6730.0,CD4+ T cell
1246633,5104.0,6608.0,Stroma
1246634,4172.0,6556.0,CD4+ T cell
1246635,5155.0,6200.0,Stroma
1246636,1839.0,5801.0,M2 Macrophage
1246637,5076.0,6930.0,CD4+ T cell
1246638,6011.0,6241.0,CD4+ T cell
1246639,5587.0,4487.0,M2 Macrophage
1246640,7767.0,6547.0,Stroma
1246641,5592.0,6601.0,CD4+ T cell
1246642,7789.0,6721.0,CD4+ T cell
1246643,4220.0,7020.0,Stroma
1246644,4173.0,6458.0,M1 Macrophage
1246645,4937.0,6813.0,M1 Macrophage
1246646,1456.0,6181.0,Plasma
1246647,365.0,5626.0,CD4+ T cell
1246648,5692.0,6180.0,CD4+ T cell
1246649,4672.0,6138.0,CD4+ T cell
1246650,3021.0,6514.0,CD4+ T cell
1246651,6833.0,7048.0,Stroma
1246652,3790.0,4910.0,M2 Macrophage
1246653,6401.0,6400.0,Stroma
1246654,2793.0,6789.0,Stroma
1246655,5349.0,6563.0,Stroma
1246656,9194.0,6610.0,Plasma
1246657,191.0,4063.0,M2 Macrophage
1246658,6453.0,6653.0,Stroma
1246659,104.0,5347.0,Stroma
1246660,5348.0,6519.0,Stroma
1246661,6456.0,6936.0,Stroma
1246662,499.0,5502.0,M1 Macrophage
1246663,134.0,5426.0,Stroma
1246664,6831.0,6719.0,Plasma
1246665,7503.0,5866.0,Stroma
1246666,197.0,6335.0,M1 Macrophage
1246667,6851.0,6618.0,Plasma
1246668,4278.0,6904.0,Stroma
1246669,6252.0,6547.0,CD4+ T cell
1246670,5296.0,6333.0,M1 Macrophage
1246671,966.0,6582.0,M1 Macrophage
1246672,3216.0,6377.0,Stroma
1246673,6791.0,6204.0,CD4+ T cell
1246674,3446.0,6730.0,CD4+ T cell
1246675,3761.0,6971.0,Plasma
1246676,6724.0,6491.0,Stroma
1246677,4908.0,6456.0,Stroma
1246678,6796.0,6234.0,CD4+ T cell
1246679,4892.0,4968.0,M2 Macrophage
1246680,3795.0,7015.0,M1 Macrophage
1246681,7753.0,6532.0,Plasma
1246682,7281.0,6596.0,Stroma
1246683,391.0,5709.0,CD4+ T cell
1246684,1795.0,6199.0,M1 Macrophage
1246685,258.0,5501.0,Stroma
1246686,6027.0,6270.0,M1 Macrophage
1246687,171.0,5611.0,Stroma
1246688,7885.0,5325.0,M2 Macrophage
1246689,5348.0,6581.0,CD4+ T cell
1246690,5084.0,6562.0,M1 Macrophage
1246691,9190.0,6792.0,Stroma
1246692,5129.0,6426.0,Plasma
1246693,3574.0,6990.0,M1 Macrophage
1246694,6442.0,6577.0,CD4+ T cell
1246695,3266.0,6727.0,Stroma
1246696,6179.0,6570.0,CD4+ T cell
1246697,1048.0,6426.0,M1 Macrophage
1246698,4608.0,6476.0,Plasma
1246699,3372.0,3677.0,M2 Macrophage
1246700,3513.0,6627.0,CD4+ T cell
1246701,7994.0,6656.0,M2 Macrophage
1246702,4070.0,4297.0,M2 Macrophage
1246703,8638.0,6762.0,CD4+ T cell
