id,x,y,cell_type
1283516,2357.0,7691.0,NK
1283517,3123.0,5526.0,NK
1283518,3351.0,4876.0,NK
1283519,4109.0,4635.0,NK
1283520,3869.0,5729.0,NK
1283521,3948.0,4560.0,NK
1283556,6146.0,7041.0,NK
1283557,9111.0,62.0,NK
1283558,2786.0,5173.0,NK
1283559,7514.0,50.0,NK
1283560,7997.0,43.0,NK
1283561,7834.0,47.0,NK
1283562,4185.0,4706.0,NK
1283563,2809.0,5156.0,NK
1283564,2932.0,3922.0,NK
1283565,7595.0,51.0,NK
1283566,8402.0,18.0,NK
1283567,2964.0,5983.0,NK
1283568,3832.0,4324.0,NK
1283569,5796.0,7108.0,NK
1283570,2691.0,5450.0,NK
1283571,5427.0,7184.0,NK
1283572,4249.0,4734.0,NK
1283573,6146.0,7012.0,NK
1283574,2681.0,5434.0,NK
1283575,4070.0,5495.0,NK
1283576,3432.0,4900.0,NK
1283577,4085.0,4628.0,NK
1283578,3112.0,4720.0,NK
1283579,3075.0,5505.0,NK
1283580,3657.0,4224.0,NK
1283587,810.0,6604.0,NK
1283588,8546.0,172.0,NK
1283589,6695.0,7050.0,NK
1283590,2863.0,3923.0,NK
1283591,3691.0,6305.0,NK
1283592,2203.0,5806.0,NK
1283593,3121.0,7446.0,NK
1283594,1963.0,4798.0,NK
1283595,8702.0,6943.0,NK
1283596,2257.0,6642.0,NK
1283597,2225.0,7614.0,NK
1283598,8157.0,6879.0,NK
1285952,7667.0,8929.0,Enterocyte
1285953,3082.0,4213.0,Enterocyte
1285954,5613.0,7701.0,Enterocyte
1285955,7932.0,8310.0,Enterocyte
1285956,3382.0,5326.0,Enterocyte
1285957,2652.0,4018.0,Enterocyte
1285958,3175.0,7564.0,TA
1285959,6544.0,8232.0,Enterocyte
1285960,5904.0,9034.0,Enterocyte
1285961,5721.0,7480.0,Enterocyte
1285962,9002.0,8889.0,Enterocyte
1285963,7703.0,7214.0,Paneth
1285964,598.0,6746.0,Enterocyte
1285965,4152.0,7820.0,Enterocyte
1285966,3666.0,8909.0,Enterocyte
1285967,2359.0,7936.0,Enterocyte
1285968,3831.0,4337.0,Enterocyte
1285969,4520.0,8747.0,Enterocyte
