id,x,y,cell_type
1283525,7193.0,7317.0,NK
1283526,522.0,6342.0,NK
1283527,7031.0,6739.0,NK
1283528,8586.0,4794.0,NK
1283529,6919.0,7957.0,NK
1283530,6808.0,4704.0,NK
1283531,9231.0,223.0,NK
1283532,6671.0,7934.0,NK
1283533,5966.0,1807.0,NK
1283534,5166.0,3999.0,NK
1283535,216.0,5714.0,NK
1283536,7065.0,7878.0,NK
1283537,7986.0,7904.0,NK
1283538,4144.0,5227.0,NK
1283539,4242.0,6948.0,NK
1283540,8341.0,5123.0,NK
1283541,2459.0,3970.0,NK
1283542,7108.0,3054.0,NK
1283543,9353.0,3323.0,NK
1283544,7899.0,1019.0,NK
1283545,8012.0,1710.0,NK
1283546,6743.0,6893.0,NK
1283547,7014.0,1048.0,NK
1283548,7005.0,6806.0,NK
1283549,7653.0,2507.0,NK
1283550,7019.0,6874.0,NK
1283551,7015.0,6821.0,NK
1283552,7001.0,6790.0,NK
1283553,1452.0,4901.0,NK
1283554,1177.0,3991.0,NK
1283555,6103.0,7328.0,NK
1283581,6695.0,2117.0,NK
1283582,352.0,6369.0,NK
1283583,153.0,4234.0,NK
1283584,646.0,4561.0,NK
1283585,1781.0,6146.0,NK
1283586,8094.0,5636.0,NK
1283599,454.0,3506.0,NK
1283600,9331.0,7137.0,NK
1283601,8778.0,8484.0,NK
1283602,6695.0,6571.0,NK
1283603,226.0,4879.0,NK
1283604,8484.0,7.0,NK
1283605,8765.0,449.0,NK
1283606,9106.0,552.0,NK
1283607,8042.0,57.0,NK
1283608,996.0,3879.0,NK
1283609,2474.0,6287.0,NK
1283610,8048.0,96.0,NK
1284229,7047.0,4833.0,Enterocyte
1284230,784.0,5679.0,Enterocyte
1284231,1574.0,5609.0,Paneth
1284232,7061.0,4764.0,Enterocyte
1284233,2268.0,4807.0,Enterocyte
1284234,5295.0,6768.0,Enterocyte
1284235,2472.0,7647.0,Paneth
1284236,5156.0,6272.0,Enterocyte
1284237,211.0,5907.0,Enterocyte
1284238,1331.0,889.0,Enterocyte
1284239,5890.0,4549.0,Enterocyte
1284240,2626.0,7824.0,Paneth
1284241,1223.0,4959.0,Enterocyte
1284242,5981.0,241.0,Enterocyte
1284243,689.0,6886.0,Enterocyte
1284244,1115.0,998.0,CD66+ Enterocyte
1284245,2578.0,6918.0,Enterocyte
1284246,866.0,3537.0,Paneth
1284247,1712.0,728.0,CD66+ Enterocyte
1284248,40.0,2618.0,Paneth
1284249,8466.0,8503.0,Enterocyte
1284250,2364.0,5589.0,Enterocyte
1284251,466.0,5894.0,Enterocyte
1284252,514.0,8114.0,Enterocyte
1284253,1258.0,6284.0,Enterocyte
1284254,567.0,6080.0,Paneth
1284255,1407.0,5899.0,Enterocyte
1284256,5797.0,1058.0,Paneth
1284257,142.0,5804.0,Paneth
1284258,7542.0,5688.0,Enterocyte
1284259,93.0,6098.0,Paneth
1284260,39.0,3252.0,Paneth
1284261,877.0,7525.0,Enterocyte
1284262,7534.0,7461.0,Enterocyte
1284263,374.0,3363.0,Enterocyte
1284264,7393.0,456.0,Paneth
1284265,6697.0,7011.0,Enterocyte
1284266,971.0,2956.0,Enterocyte
1284267,7741.0,8819.0,CD66+ Enterocyte
1284268,8912.0,5187.0,Enterocyte
1284269,117.0,6072.0,Paneth
1284270,168.0,5764.0,Paneth
1284271,443.0,3101.0,Paneth
1284272,6132.0,4790.0,Paneth
1284273,1326.0,7629.0,Enterocyte
1284274,7643.0,1163.0,Paneth
1284275,4575.0,3416.0,CD66+ Enterocyte
1284276,6499.0,6335.0,Enterocyte
1284277,7701.0,6984.0,Enterocyte
1284278,7276.0,6678.0,Enterocyte
1284279,3760.0,7585.0,Paneth
1284280,2846.0,6499.0,Enterocyte
1284281,362.0,3470.0,Enterocyte
1284282,129.0,4681.0,Paneth
1284283,164.0,3723.0,Paneth
1284284,389.0,7501.0,Enterocyte
1284285,963.0,6675.0,Enterocyte
1284286,263.0,5358.0,Paneth
1284287,384.0,7785.0,Enterocyte
1284288,6843.0,6765.0,Enterocyte
1284289,3522.0,5978.0,Enterocyte
1284290,2041.0,2303.0,Enterocyte
1284291,8428.0,298.0,Paneth
1284292,3323.0,7654.0,Enterocyte
1284293,1780.0,8068.0,Enterocyte
1284294,3258.0,7912.0,Enterocyte
1284295,6868.0,3453.0,CD66+ Enterocyte
1284296,397.0,2946.0,Enterocyte
1284297,1082.0,4128.0,Enterocyte
1284298,214.0,5015.0,Paneth
1284299,8940.0,7369.0,Enterocyte
1284300,5337.0,5286.0,Paneth
1284301,7259.0,530.0,Paneth
1284302,4071.0,7716.0,Paneth
1284303,41.0,6081.0,Paneth
1284304,3925.0,7756.0,Enterocyte
1284305,7209.0,1113.0,Enterocyte
1284306,1881.0,2226.0,CD66+ Enterocyte
1284307,1198.0,6007.0,Enterocyte
1284308,135.0,4660.0,Paneth
1284309,63.0,4653.0,Paneth
1284310,4228.0,6471.0,Enterocyte
1284311,5668.0,3992.0,Paneth
1284312,1778.0,5927.0,Enterocyte
1284313,6124.0,1018.0,Enterocyte
1284314,2537.0,7127.0,Paneth
1284315,434.0,6311.0,Paneth
1284316,670.0,3781.0,Enterocyte
1284317,250.0,5489.0,Paneth
1284318,1301.0,5949.0,Enterocyte
1284319,288.0,5923.0,Paneth
1284320,67.0,7745.0,Enterocyte
1284321,2532.0,7087.0,Enterocyte
1284322,4114.0,8057.0,Enterocyte
1284323,6958.0,8970.0,Enterocyte
1284324,8793.0,7065.0,Paneth
1284325,289.0,6625.0,Enterocyte
1284326,100.0,5710.0,Paneth
1284327,4237.0,6797.0,Enterocyte
1284328,2435.0,7527.0,Paneth
1284329,9233.0,4094.0,Paneth
1284330,2496.0,5671.0,Enterocyte
1284331,7968.0,2711.0,Enterocyte
1284332,645.0,3134.0,Paneth
1284333,1082.0,7285.0,Enterocyte
1284334,8315.0,6011.0,Enterocyte
1284335,4695.0,2984.0,Paneth
1284336,203.0,3829.0,Paneth
1284337,6471.0,3885.0,Enterocyte
1284338,97.0,6499.0,Paneth
1284339,83.0,2658.0,Paneth
1284340,7489.0,82.0,Enterocyte
1284341,1231.0,3804.0,Enterocyte
1284342,2392.0,7252.0,Paneth
1284343,5885.0,8517.0,Enterocyte
1284344,242.0,3016.0,Paneth
1284345,1967.0,725.0,CD66+ Enterocyte
1284346,5219.0,4948.0,Enterocyte
1284347,1671.0,5867.0,Enterocyte
1284348,1225.0,1646.0,Paneth
1284349,56.0,6529.0,Paneth
1284350,339.0,5322.0,Paneth
1284351,4702.0,2990.0,Paneth
1284352,6642.0,7580.0,Enterocyte
1284353,4016.0,7939.0,Enterocyte
1284354,75.0,4706.0,Paneth
1284355,357.0,6031.0,Paneth
1284356,237.0,6565.0,Paneth
1284357,1238.0,4403.0,Enterocyte
1284358,614.0,2982.0,Paneth
1284359,2437.0,7533.0,Paneth
1284360,524.0,4402.0,Enterocyte
1284361,711.0,5598.0,Enterocyte
1284362,1236.0,3168.0,Enterocyte
1284363,7955.0,5157.0,Enterocyte
1284364,212.0,5405.0,Paneth
1284365,276.0,2923.0,Enterocyte
1284366,6567.0,7734.0,Paneth
1284367,9063.0,6899.0,Paneth
1284368,296.0,5451.0,Paneth
1284369,274.0,5531.0,Enterocyte
1284370,8467.0,865.0,Paneth
1284371,396.0,6132.0,Paneth
1284372,3823.0,7459.0,Paneth
1284373,2424.0,6204.0,Enterocyte
1284374,5530.0,6953.0,Enterocyte
1284375,8722.0,7093.0,Paneth
1284376,5008.0,8388.0,Paneth
1284377,2690.0,7212.0,Enterocyte
1284378,7971.0,5520.0,Enterocyte
1284379,8988.0,7445.0,Enterocyte
1284380,4056.0,8044.0,Paneth
1284381,540.0,2951.0,Paneth
1284382,8716.0,6758.0,Enterocyte
1284383,36.0,5701.0,Enterocyte
1284384,7786.0,5540.0,Paneth
1284385,8061.0,8848.0,CD66+ Enterocyte
1284386,476.0,3438.0,Enterocyte
1284387,415.0,3179.0,Paneth
1284388,2927.0,785.0,Enterocyte
1284389,152.0,5141.0,Paneth
1284390,5511.0,8803.0,Enterocyte
1284391,265.0,2912.0,Paneth
1284392,9254.0,157.0,Paneth
1284393,127.0,4740.0,Paneth
1284394,349.0,6505.0,Paneth
1284395,8247.0,1595.0,Paneth
1284396,6171.0,4753.0,Paneth
1284397,261.0,2711.0,Paneth
1284398,430.0,6544.0,Paneth
1284399,2821.0,5857.0,Enterocyte
1284400,8939.0,4005.0,Smooth muscle
1284401,166.0,5132.0,Paneth
1284402,1679.0,7517.0,Enterocyte
1284403,6322.0,5201.0,Paneth
1284404,6963.0,8464.0,Enterocyte
1284405,5747.0,5974.0,Enterocyte
1284406,7093.0,6284.0,Enterocyte
1284407,2478.0,7877.0,Enterocyte
1284408,118.0,6047.0,Enterocyte
1284409,4150.0,8040.0,Enterocyte
1284410,8308.0,1450.0,Paneth
1284411,27.0,5712.0,Paneth
1284412,628.0,6189.0,Paneth
1284413,976.0,3636.0,Enterocyte
1284414,9122.0,1035.0,Paneth
1284415,4186.0,3754.0,Enterocyte
1284416,7322.0,8278.0,Enterocyte
1284417,1494.0,8034.0,Enterocyte
1284418,2850.0,7113.0,Paneth
1284419,6583.0,8743.0,Enterocyte
1284420,619.0,3147.0,Paneth
1284421,1503.0,8031.0,CD66+ Enterocyte
1284422,3958.0,3841.0,Enterocyte
1284423,1748.0,6175.0,Enterocyte
1284424,7331.0,7338.0,Enterocyte
1284425,1088.0,6521.0,Enterocyte
1284426,908.0,8131.0,Paneth
1284427,437.0,5453.0,Paneth
1284428,3175.0,6928.0,MUC1+ Enterocyte
1284429,351.0,5689.0,Paneth
1284430,6883.0,4764.0,CD66+ Enterocyte
1284431,3038.0,966.0,Enterocyte
1284432,381.0,5258.0,Paneth
1284433,440.0,5898.0,Paneth
1284434,2684.0,5662.0,Enterocyte
1284435,6867.0,6073.0,Paneth
1284436,7939.0,5847.0,CD66+ Enterocyte
1284437,9149.0,7189.0,Enterocyte
1284438,4474.0,6507.0,Paneth
1284439,474.0,2988.0,Enterocyte
1284440,4181.0,295.0,Enterocyte
1284441,421.0,5794.0,Paneth
1284442,2421.0,7521.0,Paneth
1284443,863.0,5338.0,Enterocyte
1284444,2527.0,7138.0,Paneth
1284445,47.0,5713.0,Paneth
