id,x,y,cell_type
16,1781.0,8187.0,NK
17,2757.0,6692.0,NK
18,5080.0,5034.0,NK
19,63.0,8098.0,NK
20,571.0,8200.0,NK
21,423.0,7401.0,NK
22,3125.0,8047.0,NK
23,5045.0,5033.0,NK
24,674.0,2787.0,NK
29,1479.0,8171.0,NK
30,2621.0,5734.0,NK
31,5794.0,6162.0,NK
32,3413.0,8800.0,NK
33,5379.0,5428.0,NK
34,4538.0,4731.0,NK
35,3268.0,4413.0,NK
36,9085.0,5428.0,NK
37,2629.0,5709.0,NK
38,2662.0,7626.0,NK
39,8716.0,4686.0,NK
40,3438.0,7026.0,NK
41,4946.0,4914.0,NK
42,5319.0,5484.0,NK
46,1791.0,4754.0,NK
6603,4034.0,4412.0,Enterocyte
6604,5370.0,5829.0,Enterocyte
6605,5132.0,5609.0,Enterocyte
6606,2426.0,8183.0,Enterocyte
6607,2893.0,5286.0,Enterocyte
6608,2941.0,8117.0,Enterocyte
6609,3702.0,4065.0,Enterocyte
6610,6007.0,8304.0,Enterocyte
6611,2001.0,8747.0,Enterocyte
6612,1777.0,8064.0,Enterocyte
6613,2825.0,7441.0,TA
6614,3288.0,4813.0,Enterocyte
6615,6416.0,8450.0,Enterocyte
6616,1961.0,8348.0,CD66+ Enterocyte
6617,2619.0,7560.0,Enterocyte
6618,4197.0,6770.0,CD66+ Enterocyte
6619,3543.0,7523.0,Enterocyte
6620,5659.0,7491.0,Enterocyte
6621,2854.0,6304.0,MUC1+ Enterocyte
6622,5185.0,6743.0,CD66+ Enterocyte
6623,3526.0,7819.0,CD66+ Enterocyte
6624,747.0,7735.0,Enterocyte
6625,148.0,7513.0,Enterocyte
6626,2820.0,6318.0,Enterocyte
6627,112.0,7393.0,MUC1+ Enterocyte
6628,6785.0,9032.0,CD66+ Enterocyte
6629,5468.0,6595.0,CD66+ Enterocyte
6630,3914.0,4350.0,Enterocyte
6631,2798.0,7220.0,Enterocyte
6632,3491.0,4993.0,Enterocyte
6633,6254.0,8301.0,Enterocyte
6634,63.0,8241.0,CD66+ Enterocyte
6635,1159.0,8894.0,CD66+ Enterocyte
6636,2395.0,8074.0,Enterocyte
6637,6463.0,8996.0,Enterocyte
6638,2621.0,7494.0,Enterocyte
6639,6032.0,7766.0,Enterocyte
6640,2794.0,7070.0,Enterocyte
6641,1554.0,7926.0,Enterocyte
6642,1410.0,7732.0,Enterocyte
6643,4614.0,5364.0,CD66+ Enterocyte
6644,3312.0,4772.0,MUC1+ Enterocyte
6645,2716.0,6487.0,Enterocyte
6646,3745.0,7250.0,Enterocyte
6647,1592.0,8948.0,CD66+ Enterocyte
6648,3586.0,8040.0,Enterocyte
6649,3247.0,4550.0,TA
6650,555.0,8273.0,CD66+ Enterocyte
6651,4231.0,6213.0,CD66+ Enterocyte
6652,369.0,7338.0,Enterocyte
6653,4503.0,4767.0,Enterocyte
6654,3363.0,8042.0,Enterocyte
6655,5915.0,7539.0,Enterocyte
6656,3260.0,3669.0,Enterocyte
6657,4302.0,5579.0,Enterocyte
6658,2534.0,8744.0,Enterocyte
6659,2863.0,6300.0,TA
6660,6853.0,9054.0,Enterocyte
6661,469.0,7461.0,Enterocyte
6662,1895.0,7950.0,Enterocyte
6663,2953.0,5737.0,MUC1+ Enterocyte
6664,3163.0,8121.0,CD66+ Enterocyte
6665,2910.0,5655.0,Enterocyte
6666,5469.0,5995.0,Enterocyte
6667,4771.0,5602.0,MUC1+ Enterocyte
6668,3274.0,7756.0,Enterocyte
6669,3498.0,7026.0,Enterocyte
6670,3578.0,7017.0,Enterocyte
6671,3346.0,7012.0,Enterocyte
6672,2459.0,8329.0,TA
6673,3771.0,5317.0,Enterocyte
6674,3782.0,3919.0,TA
6675,2473.0,8071.0,Enterocyte
6676,6147.0,7980.0,Enterocyte
6677,2656.0,8351.0,Enterocyte
6678,3057.0,4523.0,Enterocyte
6679,3188.0,6713.0,Enterocyte
6680,586.0,7657.0,Enterocyte
6681,2938.0,5741.0,TA
6682,2958.0,6469.0,Enterocyte
6683,4800.0,7050.0,CD66+ Enterocyte
6684,4174.0,4704.0,Enterocyte
6685,2679.0,5868.0,Enterocyte
6686,1685.0,8246.0,Enterocyte
6687,5239.0,5841.0,Enterocyte
6688,1564.0,8980.0,CD66+ Enterocyte
6689,929.0,7684.0,MUC1+ Enterocyte
6690,3436.0,4550.0,Enterocyte
6691,3563.0,5391.0,CD66+ Enterocyte
6692,5374.0,7324.0,CD66+ Enterocyte
6693,1153.0,7827.0,Enterocyte
6694,3712.0,5238.0,Enterocyte
6695,3022.0,5217.0,Enterocyte
6696,4681.0,4792.0,Enterocyte
6697,5229.0,5602.0,Enterocyte
6698,5032.0,7039.0,CD66+ Enterocyte
6699,3174.0,4023.0,Enterocyte
6700,438.0,7495.0,Enterocyte
6701,6139.0,8154.0,Enterocyte
6702,6142.0,7966.0,Enterocyte
6703,2731.0,5935.0,Enterocyte
6704,2753.0,8099.0,Enterocyte
6705,2798.0,6833.0,Enterocyte
6706,204.0,8457.0,CD66+ Enterocyte
6707,3178.0,4034.0,Enterocyte
6708,2894.0,6713.0,Enterocyte
6709,2650.0,6894.0,Enterocyte
6710,2527.0,8515.0,Enterocyte
6711,2317.0,8480.0,Enterocyte
6712,2968.0,5532.0,Enterocyte
6713,69.0,7241.0,Enterocyte
6714,5156.0,7413.0,CD66+ Enterocyte
6715,139.0,7363.0,Enterocyte
6716,4162.0,5687.0,Enterocyte
6717,3504.0,5573.0,Enterocyte
6718,6149.0,7864.0,Enterocyte
6719,3175.0,5834.0,CD66+ Enterocyte
6720,5909.0,7302.0,Enterocyte
6721,3784.0,3934.0,Enterocyte
6722,2859.0,7641.0,Enterocyte
6723,3648.0,4188.0,TA
6724,3782.0,6335.0,CD66+ Enterocyte
6725,2846.0,7919.0,Enterocyte
6726,3694.0,4200.0,TA
6727,5882.0,7368.0,Enterocyte
6728,6007.0,7893.0,Enterocyte
6729,5815.0,7610.0,Enterocyte
6730,5115.0,7520.0,CD66+ Enterocyte
6731,5621.0,7305.0,Enterocyte
6732,5695.0,8314.0,Enterocyte
6733,3725.0,8064.0,CD66+ Enterocyte
6734,5562.0,6981.0,Enterocyte
6735,4857.0,4946.0,Enterocyte
6736,1025.0,7786.0,MUC1+ Enterocyte
6737,57.0,7390.0,Enterocyte
6738,2748.0,8183.0,Enterocyte
6739,597.0,7433.0,Enterocyte
6740,3550.0,8175.0,Enterocyte
6741,2980.0,5563.0,TA
6742,838.0,8306.0,Enterocyte
6743,3857.0,5104.0,CD66+ Enterocyte
6744,3559.0,6622.0,Enterocyte
6745,3151.0,9054.0,CD66+ Enterocyte
6746,2928.0,7074.0,TA
6747,5056.0,6054.0,Enterocyte
6748,5164.0,6375.0,Enterocyte
6749,2905.0,7233.0,Enterocyte
6750,1203.0,8925.0,CD66+ Enterocyte
6751,3721.0,4910.0,Enterocyte
6752,781.0,7443.0,Enterocyte
6753,1588.0,7683.0,Enterocyte
6754,2861.0,7425.0,TA
6755,3553.0,5195.0,MUC1+ Enterocyte
6756,4382.0,5115.0,Enterocyte
6757,3602.0,4366.0,Enterocyte
6758,2738.0,8330.0,Enterocyte
6759,3550.0,5404.0,Enterocyte
6760,2955.0,8096.0,MUC1+ Enterocyte
6761,3796.0,7648.0,CD66+ Enterocyte
6762,5460.0,7853.0,CD66+ Enterocyte
6763,4405.0,4963.0,Enterocyte
6764,3876.0,5115.0,CD66+ Enterocyte
6765,3298.0,7396.0,Enterocyte
6766,6378.0,8570.0,Enterocyte
6767,3238.0,4094.0,CD66+ Enterocyte
6768,989.0,7498.0,Enterocyte
6769,3159.0,6094.0,Enterocyte
6770,2756.0,8512.0,TA
6771,4385.0,5211.0,MUC1+ Enterocyte
6772,4321.0,4871.0,Enterocyte
6773,3069.0,4571.0,Enterocyte
6774,3917.0,4481.0,Enterocyte
6775,2723.0,8162.0,Enterocyte
6776,4854.0,5122.0,Enterocyte
6777,3066.0,6739.0,TA
6778,3261.0,5718.0,MUC1+ Enterocyte
6779,5473.0,7725.0,CD66+ Enterocyte
6780,3025.0,4907.0,Enterocyte
6781,5161.0,6452.0,Enterocyte
6782,3539.0,5203.0,Enterocyte
6783,1975.0,7979.0,Enterocyte
6784,4695.0,5374.0,Enterocyte
6785,3240.0,7938.0,Enterocyte
6786,3357.0,3713.0,Enterocyte
6787,5930.0,6962.0,Enterocyte
6788,5045.0,5592.0,Enterocyte
6789,3269.0,5514.0,Enterocyte
6790,4985.0,5404.0,Enterocyte
6791,4649.0,5684.0,MUC1+ Enterocyte
6792,3989.0,6242.0,CD66+ Enterocyte
6793,3805.0,4828.0,Enterocyte
6794,2761.0,5378.0,Enterocyte
6795,877.0,7889.0,Enterocyte
6796,1246.0,7613.0,Enterocyte
6797,3968.0,4710.0,MUC1+ Enterocyte
6798,5063.0,5879.0,Enterocyte
6799,2850.0,7563.0,TA
6800,3716.0,7288.0,Enterocyte
6801,2673.0,5857.0,TA
6802,5021.0,5663.0,Enterocyte
6803,3467.0,5898.0,Enterocyte
6804,3021.0,6697.0,Enterocyte
6805,3379.0,3759.0,Enterocyte
6806,3466.0,7986.0,Enterocyte
6807,2617.0,7452.0,Enterocyte
6808,4089.0,7475.0,CD66+ Enterocyte
6809,26.0,7556.0,Enterocyte
6810,3818.0,8239.0,Enterocyte
6811,3206.0,8087.0,Enterocyte
6812,2999.0,5398.0,Enterocyte
6813,2828.0,6533.0,TA
6814,2981.0,7237.0,Enterocyte
6815,4938.0,5183.0,Enterocyte
6816,3978.0,4485.0,Enterocyte
6817,3370.0,8408.0,Enterocyte
6818,5541.0,8263.0,CD66+ Enterocyte
6819,3211.0,4375.0,Enterocyte
6820,3112.0,7525.0,Enterocyte
6821,4264.0,4331.0,Enterocyte
6822,700.0,7562.0,CD66+ Enterocyte
6823,3276.0,3679.0,Enterocyte
6824,1592.0,7703.0,Enterocyte
6825,84.0,7287.0,Enterocyte
6826,1432.0,8734.0,CD66+ Enterocyte
6827,3444.0,6506.0,Enterocyte
6828,5676.0,7472.0,CD66+ Enterocyte
6829,3553.0,5419.0,Enterocyte
6830,4440.0,4872.0,MUC1+ Enterocyte
6831,2785.0,5259.0,Enterocyte
6832,5651.0,7959.0,Enterocyte
6833,5130.0,7500.0,CD66+ Enterocyte
6834,6730.0,8875.0,CD66+ Enterocyte
6835,4482.0,4926.0,MUC1+ Enterocyte
6836,1313.0,7694.0,TA
6837,3199.0,5372.0,Enterocyte
6838,3015.0,4552.0,TA
6839,3792.0,5326.0,Enterocyte
6840,5116.0,5686.0,Enterocyte
6841,2879.0,7815.0,Enterocyte
6842,5638.0,6702.0,Enterocyte
6843,5356.0,5681.0,Enterocyte
6844,3087.0,6000.0,Enterocyte
6845,6077.0,7698.0,TA
6846,3313.0,5420.0,TA
6847,2757.0,7696.0,TA
6848,4026.0,6344.0,CD66+ Enterocyte
6849,2367.0,8092.0,CD66+ Enterocyte
6850,3536.0,5850.0,MUC1+ Enterocyte
6851,4028.0,4866.0,Enterocyte
6852,3156.0,8127.0,Enterocyte
6853,3299.0,3726.0,Enterocyte
6854,1576.0,8107.0,Enterocyte
6855,2932.0,6241.0,MUC1+ Enterocyte
6856,1484.0,8122.0,TA
6857,4962.0,7277.0,CD66+ Enterocyte
6858,3059.0,7611.0,TA
6859,4665.0,4731.0,TA
6860,2495.0,8713.0,Enterocyte
6861,3255.0,8229.0,Enterocyte
6862,4222.0,4715.0,TA
6863,5303.0,8270.0,CD66+ Enterocyte
6864,3779.0,8573.0,CD66+ Enterocyte
6865,2948.0,6097.0,Enterocyte
6866,2841.0,6912.0,Enterocyte
6867,5057.0,7493.0,CD66+ Enterocyte
6868,5835.0,8882.0,Enterocyte
6869,3754.0,3644.0,Enterocyte
6870,6155.0,7983.0,Enterocyte
6871,5456.0,8087.0,Enterocyte
6872,5687.0,7149.0,Enterocyte
6873,6452.0,8972.0,Enterocyte
6874,4548.0,6134.0,CD66+ Enterocyte
6875,1989.0,9057.0,CD66+ Enterocyte
6876,408.0,7591.0,Enterocyte
6877,3332.0,7006.0,Enterocyte
6878,4446.0,4546.0,Enterocyte
6879,3262.0,7474.0,Enterocyte
6880,2908.0,5781.0,CD66+ Enterocyte
6881,2568.0,7500.0,CD66+ Enterocyte
6882,3255.0,4250.0,TA
6883,2765.0,7182.0,TA
