id,x,y,cell_type
1780731,3260.0,1541.0,NK
1780732,4067.0,6055.0,NK
1780733,3760.0,8132.0,NK
1780734,2874.0,954.0,NK
1780735,3912.0,5768.0,NK
1780736,3682.0,3156.0,NK
1780737,3935.0,6369.0,NK
1780738,870.0,771.0,NK
1780739,3268.0,1147.0,NK
1780740,3615.0,5397.0,NK
1780741,3690.0,6767.0,NK
1780742,906.0,4639.0,NK
1780743,3665.0,6762.0,NK
1780744,3481.0,6811.0,NK
1780745,2811.0,1268.0,NK
1780746,4213.0,8196.0,NK
1780747,4072.0,6959.0,NK
1780748,3572.0,6746.0,NK
1780749,4205.0,7017.0,NK
1780750,3736.0,1700.0,NK
1780751,3647.0,7168.0,NK
1780752,3508.0,7395.0,NK
1780753,3742.0,8343.0,NK
1780754,3337.0,1437.0,NK
1780755,3441.0,2776.0,NK
1780756,3105.0,2610.0,NK
1780757,2730.0,106.0,NK
1780758,3730.0,6767.0,NK
1780759,3054.0,1889.0,NK
1780760,2739.0,87.0,NK
1780761,2697.0,194.0,NK
1780762,3645.0,7103.0,NK
1780763,3515.0,6679.0,NK
1780764,2678.0,191.0,NK
1780765,2867.0,755.0,NK
1780766,3007.0,2446.0,NK
1780767,3819.0,2155.0,NK
1780768,3057.0,1446.0,NK
1780769,3211.0,1265.0,NK
1780770,2923.0,2681.0,NK
1780771,3638.0,1867.0,NK
1780772,4062.0,6038.0,NK
1780773,3300.0,7287.0,NK
1780774,3252.0,2120.0,NK
1780775,4212.0,6191.0,NK
1780776,3513.0,7380.0,NK
1780777,3257.0,7184.0,NK
1780778,3621.0,7170.0,NK
1780779,3993.0,7954.0,NK
1780780,3221.0,7852.0,NK
1780781,3886.0,5510.0,NK
1780782,2988.0,766.0,NK
1780783,3681.0,6704.0,NK
1780784,3633.0,1852.0,NK
1780785,4008.0,7962.0,NK
1780786,3313.0,797.0,NK
1780787,3668.0,2243.0,NK
1780788,3936.0,6328.0,NK
1780789,2599.0,9.0,NK
1780790,2996.0,2431.0,NK
1780791,3663.0,6146.0,NK
1780792,3211.0,3614.0,NK
1780793,3490.0,2598.0,NK
1780794,3630.0,8992.0,NK
1780795,3906.0,5524.0,NK
1780796,3816.0,2139.0,NK
1780797,3749.0,2918.0,NK
1780798,3286.0,1133.0,NK
1780799,3539.0,1621.0,NK
1780800,3901.0,5764.0,NK
1780801,3644.0,7608.0,NK
1780802,3494.0,7388.0,NK
1780807,3929.0,7761.0,NK
1780808,3115.0,8938.0,NK
1780809,4569.0,1029.0,NK
1780810,3288.0,3107.0,NK
1780811,3377.0,3736.0,NK
1780812,3232.0,203.0,NK
1780813,2703.0,109.0,NK
1780814,3275.0,6110.0,NK
1780815,3240.0,3009.0,NK
1780816,3670.0,2415.0,NK
1780817,2645.0,677.0,NK
1780834,2838.0,790.0,NK
1780835,2524.0,172.0,NK
1780836,4133.0,6865.0,NK
1780837,2961.0,7427.0,NK
1780838,3050.0,6208.0,NK
1780839,2751.0,2496.0,NK
1780840,2991.0,7470.0,NK
1780841,8953.0,8824.0,NK
1780842,2671.0,1699.0,NK
1780843,2964.0,6692.0,NK
1780844,2416.0,4291.0,NK
1780845,2577.0,1238.0,NK
1780846,3027.0,7276.0,NK
1780847,8713.0,7752.0,NK
1780848,9256.0,8774.0,NK
1780849,2619.0,604.0,NK
1780850,2694.0,7089.0,NK
1780851,2551.0,552.0,NK
1780852,2280.0,2236.0,NK
1780853,2293.0,2232.0,NK
1781874,2598.0,1870.0,CD66+ Enterocyte
1781875,2522.0,782.0,Enterocyte
1781876,3148.0,5880.0,Enterocyte
1781877,2327.0,224.0,Paneth
1781878,3392.0,8219.0,Paneth
1781879,2841.0,1811.0,Paneth
1781880,2609.0,812.0,MUC1+ Enterocyte
1781881,2850.0,1813.0,Paneth
1781882,2794.0,1544.0,Paneth
1781883,2453.0,513.0,Paneth
1781884,2770.0,1541.0,Paneth
1781885,3254.0,5306.0,Enterocyte
1781886,2821.0,4152.0,Paneth
1781887,1086.0,1698.0,CD66+ Enterocyte
1781888,2821.0,4395.0,Paneth
1781889,2916.0,2200.0,Enterocyte
1781890,2823.0,7954.0,Enterocyte
1781891,1978.0,4567.0,Enterocyte
1781892,3215.0,9018.0,Enterocyte
1781893,3371.0,5111.0,Paneth
1781894,3237.0,9005.0,Enterocyte
1781895,3608.0,3623.0,MUC1+ Enterocyte
1781896,2980.0,7301.0,Enterocyte
1781897,2747.0,3311.0,Enterocyte
1781898,2390.0,420.0,Paneth
1781899,2701.0,4236.0,Enterocyte
1781900,2751.0,3849.0,Paneth
1781901,2821.0,3464.0,Paneth
1781902,2668.0,7251.0,Enterocyte
1781903,2942.0,2458.0,Paneth
1781904,2798.0,1528.0,Paneth
1781905,2317.0,54.0,Paneth
1781906,2873.0,2252.0,Paneth
1781907,3448.0,8291.0,Paneth
1781908,3382.0,8219.0,Paneth
1781909,2637.0,5563.0,CD66+ Enterocyte
1781910,2924.0,2590.0,Paneth
1781911,3378.0,5358.0,Paneth
1781912,629.0,4319.0,Paneth
1781913,2739.0,3543.0,Enterocyte
1781914,2879.0,7193.0,Paneth
1781915,2972.0,4574.0,Paneth
1781916,2872.0,1870.0,Enterocyte
1781917,2686.0,2115.0,CD66+ Enterocyte
1781918,2854.0,4365.0,Paneth
1781919,3430.0,8266.0,Paneth
1781920,2736.0,1098.0,Paneth
1781921,3250.0,8383.0,Enterocyte
1781922,3288.0,8433.0,MUC1+ Enterocyte
1781923,3021.0,6826.0,Paneth
1781924,2784.0,4435.0,Paneth
1781925,2996.0,7285.0,Paneth
1781926,2927.0,1925.0,Paneth
1781927,2889.0,3510.0,Paneth
1781928,2861.0,1708.0,Paneth
1781929,2873.0,7036.0,Paneth
1781930,2311.0,451.0,MUC1+ Enterocyte
1781931,808.0,406.0,CD66+ Enterocyte
1781932,2790.0,3837.0,Paneth
1781933,2693.0,4239.0,Enterocyte
1781934,3394.0,5325.0,Paneth
1781935,3343.0,8196.0,Paneth
1781936,2853.0,2643.0,Enterocyte
1781937,2899.0,3508.0,Paneth
1781938,2747.0,3531.0,Paneth
1781939,2820.0,4339.0,Paneth
1781940,3086.0,4899.0,Paneth
1781941,1852.0,2936.0,CD66+ Enterocyte
1781942,2894.0,2343.0,Paneth
1781943,3271.0,8756.0,Paneth
1781944,2914.0,1927.0,Paneth
1781945,2722.0,1135.0,Paneth
1781946,700.0,3664.0,CD66+ Enterocyte
1781947,2794.0,3849.0,Paneth
1781948,2769.0,7377.0,Enterocyte
1781949,3813.0,4686.0,M1 Macrophage
1781950,1234.0,1528.0,CD66+ Enterocyte
1781951,2900.0,7210.0,Paneth
1781952,2915.0,6806.0,Enterocyte
1781953,2344.0,457.0,Paneth
1781954,2704.0,4667.0,Enterocyte
1781955,2346.0,4489.0,Paneth
1781956,3766.0,4021.0,Enterocyte
1781957,2786.0,3815.0,Paneth
1781958,2178.0,35.0,Paneth
1781959,3247.0,5337.0,Paneth
1781960,2667.0,3112.0,Enterocyte
1781961,2862.0,3466.0,Paneth
1781962,2963.0,4405.0,Paneth
1781963,3297.0,8287.0,Enterocyte
1781964,2932.0,2449.0,Paneth
1781965,1952.0,1199.0,CD66+ Enterocyte
1781966,2788.0,3864.0,Paneth
1781967,2953.0,2099.0,Paneth
1781968,3347.0,5078.0,Paneth
1781969,2668.0,4016.0,Enterocyte
1781970,3356.0,5110.0,Paneth
1781971,3005.0,7309.0,Paneth
1781972,3126.0,8964.0,Enterocyte
1781973,5533.0,674.0,Enterocyte
1781974,2798.0,4309.0,Paneth
1781975,3134.0,4765.0,Paneth
1781976,2809.0,1477.0,Paneth
1781977,3302.0,8610.0,Paneth
1781978,3266.0,5032.0,Paneth
1781979,2812.0,7125.0,Enterocyte
1781980,2976.0,7089.0,Paneth
1781981,3244.0,5070.0,Paneth
1781982,3117.0,8706.0,MUC1+ Enterocyte
1781983,2496.0,1107.0,Enterocyte
1781984,2863.0,4372.0,Paneth
1781985,2796.0,3883.0,Paneth
1781986,2727.0,1382.0,Paneth
1781987,2947.0,4463.0,Paneth
1781988,2802.0,1659.0,Paneth
1781989,2778.0,1549.0,Paneth
1781990,2955.0,4386.0,Paneth
1781991,2813.0,2071.0,Enterocyte
1781992,3371.0,8209.0,Paneth
1781993,2968.0,7060.0,Paneth
1781994,3069.0,4613.0,Paneth
1781995,2908.0,4294.0,Paneth
1781996,2946.0,4372.0,Paneth
1781997,3288.0,5117.0,Paneth
1781998,2860.0,7207.0,Paneth
1781999,3068.0,5898.0,Enterocyte
1782000,2281.0,633.0,Paneth
1782001,2659.0,1026.0,Paneth
1782002,3013.0,4641.0,Paneth
1782003,3375.0,8802.0,CD66+ Enterocyte
1782004,2864.0,3448.0,Paneth
1782005,3332.0,5078.0,Paneth
1782006,2949.0,6813.0,Enterocyte
1782007,3351.0,8210.0,Paneth
1782008,2742.0,1135.0,Paneth
