id,x,y,cell_type
539442,3651.0,7999.0,NK
539451,1843.0,813.0,NK
539452,8890.0,6047.0,NK
539453,2556.0,31.0,NK
539454,2047.0,1648.0,NK
539455,5291.0,2754.0,NK
539456,3493.0,2714.0,NK
539457,2261.0,378.0,NK
539458,2263.0,1724.0,NK
539459,1585.0,1285.0,NK
539460,957.0,3011.0,NK
539461,9329.0,8067.0,NK
539462,3556.0,229.0,NK
539463,1932.0,1542.0,NK
539464,4084.0,1418.0,NK
539465,225.0,3606.0,NK
539466,2232.0,1707.0,NK
539467,4219.0,1522.0,NK
539468,6117.0,6342.0,NK
539469,2684.0,2480.0,NK
539470,3442.0,2751.0,NK
539471,6286.0,6167.0,NK
539472,4172.0,2262.0,NK
539473,2991.0,3366.0,NK
539474,4549.0,2140.0,NK
539478,5040.0,1410.0,NK
539479,3232.0,6336.0,NK
539480,3652.0,2061.0,NK
539481,3025.0,1370.0,NK
539482,3902.0,1678.0,NK
539483,6599.0,6003.0,NK
539484,2850.0,3339.0,NK
539485,1985.0,809.0,NK
539486,103.0,3521.0,NK
539487,3719.0,734.0,NK
539488,2187.0,2877.0,NK
539489,3756.0,8436.0,NK
539490,3980.0,2152.0,NK
539491,4233.0,3847.0,NK
539492,3931.0,1545.0,NK
539493,3976.0,1473.0,NK
539494,4037.0,2230.0,NK
539495,4603.0,2503.0,NK
539496,2794.0,5845.0,NK
539497,3938.0,3865.0,NK
539498,3024.0,1786.0,NK
539499,4290.0,3931.0,NK
539500,2075.0,1697.0,NK
539501,2791.0,5891.0,NK
539502,3781.0,8487.0,NK
539503,4270.0,5903.0,NK
539504,2824.0,5900.0,NK
539505,3390.0,4809.0,NK
539506,3767.0,4785.0,NK
539507,4657.0,5707.0,NK
539508,11.0,7258.0,NK
539509,2248.0,1566.0,NK
539510,4105.0,1758.0,NK
539511,3910.0,2926.0,NK
539512,3905.0,3974.0,NK
539513,7655.0,8067.0,NK
539514,3835.0,308.0,NK
539515,3798.0,5303.0,NK
539516,3548.0,6094.0,NK
539517,95.0,3603.0,NK
539518,6341.0,6018.0,NK
539519,2612.0,8164.0,NK
539520,3689.0,6239.0,NK
539521,2892.0,3468.0,NK
539522,5192.0,6502.0,NK
539523,3714.0,3516.0,NK
539524,2754.0,2192.0,NK
539525,3683.0,4383.0,NK
539526,3975.0,2124.0,NK
539540,79.0,1827.0,NK
539541,2413.0,3215.0,NK
539542,4577.0,2692.0,NK
539543,3787.0,3279.0,NK
539544,3963.0,491.0,NK
539545,2065.0,1584.0,NK
539546,5802.0,6290.0,NK
539547,8175.0,7119.0,NK
539548,3540.0,4264.0,NK
539549,4154.0,2277.0,NK
539550,3753.0,406.0,NK
539551,3843.0,213.0,NK
539552,8099.0,6945.0,NK
539553,5828.0,6276.0,NK
539554,3548.0,4371.0,NK
539555,4229.0,2038.0,NK
539556,5846.0,6309.0,NK
539557,4439.0,1981.0,NK
541203,4631.0,5085.0,Paneth
541204,5611.0,3242.0,CD66+ Enterocyte
541205,5794.0,1891.0,CD66+ Enterocyte
541206,5839.0,2851.0,CD66+ Enterocyte
541207,5517.0,3402.0,CD66+ Enterocyte
541208,4081.0,1516.0,MUC1+ Enterocyte
541209,5829.0,3981.0,CD66+ Enterocyte
541210,6324.0,2173.0,CD66+ Enterocyte
541211,2516.0,3367.0,Enterocyte
541212,5300.0,3783.0,CD66+ Enterocyte
541213,8625.0,5699.0,Enterocyte
541214,5725.0,3462.0,Enterocyte
541215,3879.0,3449.0,Enterocyte
541216,8122.0,3541.0,CD66+ Enterocyte
541217,7144.0,6772.0,Paneth
541218,3532.0,1861.0,Enterocyte
541219,8129.0,3292.0,CD66+ Enterocyte
541220,4372.0,2090.0,Paneth
541221,7644.0,2567.0,CD66+ Enterocyte
541222,5357.0,6157.0,Enterocyte
541223,8220.0,3863.0,CD66+ Enterocyte
541224,7200.0,2946.0,CD66+ Enterocyte
541225,3533.0,5299.0,MUC1+ Enterocyte
541226,4475.0,1194.0,Enterocyte
541227,5204.0,1144.0,CD66+ Enterocyte
541228,5213.0,4276.0,CD66+ Enterocyte
541229,3653.0,5216.0,Paneth
541230,4058.0,5328.0,Enterocyte
541231,5882.0,3529.0,CD66+ Enterocyte
541232,4452.0,1178.0,Enterocyte
541233,3362.0,5096.0,Paneth
541234,8183.0,3480.0,Enterocyte
541235,5576.0,5312.0,Enterocyte
541236,4705.0,655.0,Enterocyte
541237,4995.0,4287.0,Enterocyte
541238,4275.0,1991.0,Paneth
541239,7949.0,3348.0,CD66+ Enterocyte
541240,3422.0,4330.0,Paneth
541241,5902.0,3754.0,CD66+ Enterocyte
541242,7476.0,4337.0,CD66+ Enterocyte
541243,5560.0,2840.0,CD66+ Enterocyte
541244,8487.0,6538.0,Enterocyte
541245,4591.0,2074.0,Enterocyte
541246,5557.0,2867.0,Enterocyte
541247,4372.0,204.0,Enterocyte
541248,4821.0,4959.0,Enterocyte
541249,4024.0,3489.0,Paneth
541250,6506.0,1082.0,CD66+ Enterocyte
541251,7989.0,6220.0,CD66+ Enterocyte
541252,5801.0,2849.0,Enterocyte
541253,5405.0,4811.0,CD66+ Enterocyte
541254,5797.0,3424.0,CD66+ Enterocyte
541255,2190.0,1849.0,MUC1+ Enterocyte
541256,8996.0,7536.0,MUC1+ Enterocyte
541257,4789.0,5711.0,Enterocyte
541258,5792.0,2859.0,CD66+ Enterocyte
541259,5456.0,1749.0,Enterocyte
541260,5998.0,1952.0,CD66+ Enterocyte
541261,6676.0,6425.0,Enterocyte
541262,4211.0,609.0,Paneth
541263,4274.0,2652.0,Enterocyte
541264,5246.0,3952.0,CD66+ Enterocyte
541265,4332.0,1513.0,MUC1+ Enterocyte
541266,6124.0,2624.0,Enterocyte
541267,5528.0,3959.0,CD66+ Enterocyte
