id,x,y,cell_type
1283522,1156.0,890.0,NK
1283523,4943.0,4636.0,NK
1283524,4340.0,5988.0,NK
1283611,208.0,792.0,Enterocyte
1283612,626.0,546.0,Enterocyte
1283613,802.0,429.0,Enterocyte
1283614,1118.0,968.0,Enterocyte
1283615,1338.0,299.0,Enterocyte
1283616,565.0,1946.0,Enterocyte
1283617,824.0,1207.0,Enterocyte
1283618,804.0,1641.0,Enterocyte
1283619,923.0,1124.0,Enterocyte
1283620,911.0,1675.0,Enterocyte
1283621,931.0,1480.0,Enterocyte
1283622,918.0,1873.0,Enterocyte
1283623,976.0,1131.0,MUC1+ Enterocyte
1283624,980.0,1688.0,Enterocyte
1283625,972.0,1412.0,Enterocyte
1283626,1010.0,1150.0,Enterocyte
1283627,999.0,1260.0,Enterocyte
1283628,979.0,1846.0,Enterocyte
1283629,991.0,1533.0,Enterocyte
1283630,1180.0,1007.0,Enterocyte
1283631,1154.0,1425.0,Enterocyte
1283632,1150.0,1834.0,Enterocyte
1283633,1241.0,1332.0,MUC1+ Enterocyte
1283634,1259.0,1100.0,Enterocyte
1283635,1301.0,1303.0,Enterocyte
1283636,1326.0,1098.0,Enterocyte
1283637,1314.0,1298.0,Enterocyte
1283638,1318.0,1470.0,Enterocyte
1283639,1340.0,1136.0,Enterocyte
1283640,1299.0,1447.0,Paneth
1283641,917.0,2252.0,Enterocyte
1283642,931.0,2791.0,Enterocyte
1283643,966.0,2858.0,Enterocyte
1283644,994.0,2857.0,Enterocyte
1283645,1026.0,2815.0,Enterocyte
1283646,1101.0,2041.0,Enterocyte
1283647,1112.0,2316.0,Enterocyte
1283648,1164.0,2202.0,Enterocyte
1283649,1177.0,2127.0,Enterocyte
1283650,1188.0,2168.0,Enterocyte
1283651,1169.0,2282.0,Paneth
1283652,1194.0,2148.0,Enterocyte
1283653,1202.0,2122.0,Enterocyte
1283654,1190.0,2395.0,Paneth
1283655,1211.0,2110.0,Enterocyte
1283656,1206.0,2261.0,Paneth
1283657,1185.0,2764.0,Enterocyte
1283658,1240.0,2406.0,Enterocyte
1283659,1244.0,2372.0,Enterocyte
1283660,1234.0,2642.0,Enterocyte
1283661,313.0,3959.0,Enterocyte
1283662,378.0,3782.0,Enterocyte
1283663,518.0,3551.0,Enterocyte
1283664,511.0,3768.0,Enterocyte
1283665,689.0,3191.0,Enterocyte
1283666,682.0,3652.0,Enterocyte
1283667,756.0,3382.0,Enterocyte
1283668,771.0,3369.0,Enterocyte
1283669,753.0,3758.0,Enterocyte
