id,x,y,cell_type
1780803,6052.0,7406.0,NK
1780804,6036.0,8083.0,NK
1780805,6053.0,8083.0,NK
1780806,6673.0,4854.0,NK
1780818,8851.0,4652.0,NK
1780819,8742.0,7892.0,NK
1780820,4544.0,5686.0,NK
1780821,3900.0,6356.0,NK
1780822,4189.0,6174.0,NK
1780823,3773.0,6218.0,NK
1780824,6298.0,6941.0,NK
1780825,8903.0,622.0,NK
1780826,7297.0,8464.0,NK
1780827,8025.0,6119.0,NK
1780828,8967.0,631.0,NK
1780829,802.0,6019.0,NK
1780830,1623.0,6358.0,NK
1780831,6447.0,6890.0,NK
1780832,803.0,6784.0,NK
1780833,507.0,440.0,NK
1782259,4095.0,6756.0,Enterocyte
1782260,4902.0,6144.0,Enterocyte
1782261,4609.0,5923.0,Enterocyte
1782262,1202.0,6334.0,Enterocyte
1782263,4254.0,7122.0,Enterocyte
1782264,1522.0,6251.0,Enterocyte
1782265,1752.0,6404.0,Enterocyte
1782266,3008.0,6099.0,Enterocyte
1782267,5125.0,8413.0,Enterocyte
1782268,811.0,7045.0,Enterocyte
1782269,4228.0,5965.0,TA
1782270,5170.0,8473.0,Enterocyte
1782271,1753.0,6497.0,Enterocyte
1782272,8091.0,7233.0,Enterocyte
1782273,3748.0,7225.0,Enterocyte
1782274,5060.0,8518.0,Enterocyte
1782275,5350.0,7537.0,Enterocyte
1782276,5209.0,8454.0,Enterocyte
1782277,3864.0,6028.0,Enterocyte
1782278,8587.0,7039.0,Enterocyte
1782279,4102.0,6514.0,Enterocyte
1782280,3883.0,6155.0,Enterocyte
1782281,6217.0,6526.0,Enterocyte
1782282,5947.0,6709.0,Enterocyte
1782283,2449.0,6196.0,Enterocyte
1782284,8527.0,6988.0,Enterocyte
1782285,7461.0,7231.0,Enterocyte
1782286,4570.0,6315.0,Enterocyte
1782287,3197.0,6371.0,Enterocyte
1782288,479.0,6510.0,Enterocyte
1782289,6465.0,6673.0,Enterocyte
1782290,3274.0,6325.0,Enterocyte
1782291,257.0,6399.0,Enterocyte
1782292,4614.0,6281.0,Paneth
1782293,4630.0,5891.0,Enterocyte
1782294,3744.0,7233.0,Enterocyte
1782295,3661.0,6803.0,Enterocyte
1782296,6966.0,6825.0,Paneth
1782297,7740.0,7321.0,Enterocyte
1782298,4628.0,6206.0,Paneth
1782299,7557.0,7409.0,Enterocyte
1782300,7035.0,6976.0,Paneth
1782301,8495.0,7049.0,Enterocyte
1782302,7870.0,7142.0,Paneth
